Source,Category,Status,Hash,Claim_Link,Action_Required,Notes
SPINE_GPEv7_PHASE0_REPRODUCIBILITY_DOSSIER_COLAB_v1.0.0.ipynb,Phase0_Closure,Available,Not_Computed_Local,PHASE0_LOCK_v1.0.0,None - Core pipeline script verified,Validates Phase 0 freeze with expected hashes: Master Lock 38d3e5e5... Master Freeze 3ee7e7ec...
SPINE_GPEv7_FASE0_COLAB_v7.0.3.ipynb,Phase0_Legacy,Available,Not_Computed_Local,None_Direct,Deprecate - Superseded by v1.0.0 series,Legacy version - multiple numbered duplicates exist
SPINE_V7_FASE_0.ipynb,Phase0_Legacy,Available,Not_Computed_Local,None_Direct,Deprecate - Superseded by PHASE0_CLOSURE series,Orphan code - not referenced in v7 DAG
SPINE_GPEv7_LAYOUT_CLOSURE_AND_RAIS_FORMAL_COLAB_v1.0.1.ipynb,Phase0_RAIS,Available,Not_Computed_Local,RAIS_baseline,None - Multiple duplicates detected,(1) (2) variants are orphan copies - consolidate to single canonical version
SPINE_GPEv7_PHASE0_CLOSURE_COLAB_v1.0.0.ipynb,Phase0_Closure,Available,Not_Computed_Local,PHASE0_CLOSURE,None - Multiple duplicates detected,(1)-(4) variants are orphan copies
SPINE_GPEv7_PNAD_COVID_CERTIFIER_COLAB_v1.0.2.ipynb,PNAD_COVID,Available,Not_Computed_Local,PNAD_COVID_Cert,None - Highest version in series,(1) (2) variants are orphan copies
SPINE_GPEv7_PNAD_COVID_C014_AUDITOR_COLAB_v1.0.0.ipynb,PNAD_COVID_Audit,Available,Not_Computed_Local,PNAD_COVID_C014,None - Auditor module,Multiple duplicates (1) (2) should be removed
SPINE_GPEv7_PNADC_CERTIFIER_COLAB_v1.2.0.ipynb,PNADc_Certifier,Available,Not_Computed_Local,PNADc_2022_2024,None - Latest version,v1.0.0 and v1.1.0 are superseded
SPINE_GPEv7_PNADC_HISTORICAL_PROXY_ENGINE_COLAB_v1.0.1.ipynb,PNADc_Proxy,Available,Not_Computed_Local,Proxy_Engine,None - Active version,v1.0.0 superseded; duplicates (1)(2)(3) are orphans
SPINE_GPEv7_PNADC_HISTORICAL_BACKCAST_HARDENING_COLAB_v1.2.0.ipynb,PNADc_Backcast,Available,Not_Computed_Local,Backcast_Engine,None - Publication-ready hardening,v1.1.0 superseded; duplicates are orphans
